sample	genotype	sex	Hoxd13	Hoxd12	Hoxd11	Hoxd10	Hoxd9	Hoxd8	Hoxd4	Hoxd3
RNAseq_mm_E18_inv_FUGS_rep1	Inv	females	2.9021	1.38027	3.90676	1.71715	1.93338	4.89567	0.455605	0.207444
RNAseq_mm_E18_inv_FUGS_rep2	Inv	females	4.67924	1.48078	8.95216	1.7924	1.18524	3.88487	0.712479	0.228479
RNAseq_mm_E18_inv_FUGS_rep3	Inv	females	5.32274	2.86417	10.2023	1.13483	1.38431	3.85968	1.12386	0.534306
RNAseq_mm_E18_inv_MUGS_rep1	Inv	males	4.47182	1.86662	6.81913	2.22939	3.11521	6.50131	1.17736	0.899712
RNAseq_mm_E18_inv_MUGS_rep2	Inv	males	4.37467	2.10317	7.72643	2.19544	2.7998	7.28838	1.17605	1.08423
RNAseq_mm_E18_inv_MUGS_rep3	Inv	males	4.65945	0.942124	6.61176	2.04271	1.63352	4.81549	1.34343	0.63987
RNAseq_mm_E18_wt_FUGS_rep1	wt	females	18.5329	8.78907	3.53062	4.5519	1.88569	4.57802	0.606747	0.216069
RNAseq_mm_E18_wt_FUGS_rep2	wt	females	16.3913	7.81674	3.04321	4.0046	1.74713	4.46206	0.552408	0.290162
RNAseq_mm_E18_wt_FUGS_rep3	wt	females	20.0562	10.2111	3.04289	4.09908	1.20225	4.01462	0.571413	0.30202
RNAseq_mm_E18_wt_MUGS_rep1	wt	males	19.404	8.86169	2.88743	4.55921	3.91909	8.19695	0.984474	1.05726
RNAseq_mm_E18_wt_MUGS_rep2	wt	males	17.0537	8.36114	3.13815	4.23357	3.79464	7.88954	0.994044	0.616349
RNAseq_mm_E18_wt_MUGS_rep3	wt	males	18.4427	9.2546	3.08065	4.17076	2.53704	5.95517	0.677413	0.613588
