Plate	Genotype	Sex	Target	Sample	Cq
1	wt	M	Tbp	1110	28.0210973905004
1	wt	M	Tbp	1110	28.1625763826207
1	wt	M	Tbp	1110	28.1195880429146
1	wt	M	Hoxd13	1110	26.617331871288
1	wt	M	Hoxd13	1110	26.6125367019523
1	wt	M	Hoxd13	1110	26.4245021169586
1	wt	M	Hoxd11	1110	25.9184852078104
1	wt	M	Hoxd11	1110	25.9161962871283
1	wt	M	Hoxd11	1110	25.7805850719928
1	wt	M	Hoxd10	1110	29.2099632762973
1	wt	M	Hoxd10	1110	29.1243042286057
1	wt	M	Hoxd10	1110	29.0212930818896
1	wt	M	Tbp	1148	27.327673418493
1	wt	M	Tbp	1148	27.3836246041096
1	wt	M	Tbp	1148	27.2819364454986
1	wt	M	Hoxd13	1148	25.7288233554039
1	wt	M	Hoxd13	1148	25.7947720585602
1	wt	M	Hoxd13	1148	25.8158099183221
1	wt	M	Hoxd11	1148	25.1782472711889
1	wt	M	Hoxd11	1148	25.1101566258288
1	wt	M	Hoxd11	1148	25.0193454508942
1	wt	M	Hoxd10	1148	29.0145912883429
1	wt	M	Hoxd10	1148	28.8872947131006
1	wt	M	Hoxd10	1148	29.0721079444419
1	wt	M	Tbp	1893	28.7407126490414
1	wt	M	Tbp	1893	28.6768487669417
1	wt	M	Tbp	1893	28.8850656149668
1	wt	M	Hoxd13	1893	27.6098174161979
1	wt	M	Hoxd13	1893	27.3511052131998
1	wt	M	Hoxd13	1893	27.191022751597
1	wt	M	Hoxd11	1893	26.78803205988
1	wt	M	Hoxd11	1893	26.8482910401021
1	wt	M	Hoxd11	1893	26.6300126801104
1	wt	M	Hoxd10	1893	30.325679194934
1	wt	M	Hoxd10	1893	30.5431158487706
1	wt	M	Hoxd10	1893	30.5262267442772
1	wt	M	Tbp	1910	29.0520639391876
1	wt	M	Tbp	1910	29.1150160767489
1	wt	M	Tbp	1910	28.8309361111236
1	wt	M	Hoxd13	1910	27.0652919967335
1	wt	M	Hoxd13	1910	27.1245794625341
1	wt	M	Hoxd13	1910	27.0056755987898
1	wt	M	Hoxd11	1910	27.0268304357152
1	wt	M	Hoxd11	1910	27.0017918259732
1	wt	M	Hoxd11	1910	27.007802120942
1	wt	M	Hoxd10	1910	30.5616840494558
1	wt	M	Hoxd10	1910	30.6045985532762
1	wt	M	Hoxd10	1910	30.7682597701187
1	Del(Rel1-Rel5)	M	Tbp	1189	31.6062912482159
1	Del(Rel1-Rel5)	M	Tbp	1189	31.4453321871178
1	Del(Rel1-Rel5)	M	Tbp	1189	31.6099940576282
1	Del(Rel1-Rel5)	M	Hoxd13	1189	31.6553088309069
1	Del(Rel1-Rel5)	M	Hoxd13	1189	31.8697272718576
1	Del(Rel1-Rel5)	M	Hoxd13	1189	31.6701876674189
1	Del(Rel1-Rel5)	M	Hoxd11	1189	30.7695526915991
1	Del(Rel1-Rel5)	M	Hoxd11	1189	30.7318119920168
1	Del(Rel1-Rel5)	M	Hoxd11	1189	30.9818436898084
1	Del(Rel1-Rel5)	M	Hoxd10	1189	33.8162633366222
1	Del(Rel1-Rel5)	M	Hoxd10	1189	34.0477183377941
1	Del(Rel1-Rel5)	M	Hoxd10	1189	33.6312911800262
1	Del(Rel1-Rel5)	M	Tbp	1918	29.1316313560348
1	Del(Rel1-Rel5)	M	Tbp	1918	29.140507453945
1	Del(Rel1-Rel5)	M	Tbp	1918	29.1552543928484
1	Del(Rel1-Rel5)	M	Hoxd13	1918	28.939960768267
1	Del(Rel1-Rel5)	M	Hoxd13	1918	28.660947353549
1	Del(Rel1-Rel5)	M	Hoxd13	1918	29.0130548515297
1	Del(Rel1-Rel5)	M	Hoxd11	1918	27.6944738541879
1	Del(Rel1-Rel5)	M	Hoxd11	1918	27.8548584473454
1	Del(Rel1-Rel5)	M	Hoxd11	1918	27.7279398522633
1	Del(Rel1-Rel5)	M	Hoxd10	1918	31.3038292228836
1	Del(Rel1-Rel5)	M	Hoxd10	1918	31.2192134117002
1	Del(Rel1-Rel5)	M	Hoxd10	1918	31.2197558369509
