Plate	Genotype	Sex	Target	Sample	Cq
1	wt	M	Tbp	1088	23.695864466519
1	wt	M	Tbp	1088	23.9051907458711
1	wt	M	Tbp	1088	24.0534109844835
1	wt	M	Hoxd13	1088	22.0541469020424
1	wt	M	Hoxd13	1088	21.9531477613464
1	wt	M	Hoxd13	1088	21.8159243948306
1	wt	M	Hoxd11	1088	21.6049805049044
1	wt	M	Hoxd11	1088	21.5666869534699
1	wt	M	Hoxd11	1088	21.4051084946659
1	wt	M	Hoxd10	1088	25.6625153480875
1	wt	M	Hoxd10	1088	25.8205971794879
1	wt	M	Hoxd10	1088	25.5957072414529
1	wt	M	Tbp	1090	24.1930894739528
1	wt	M	Tbp	1090	24.0413821431935
1	wt	M	Tbp	1090	24.3132470821398
1	wt	M	Hoxd13	1090	23.0943767712503
1	wt	M	Hoxd13	1090	22.9896541112621
1	wt	M	Hoxd13	1090	23.5782229721155
1	wt	M	Hoxd11	1090	22.5576756651583
1	wt	M	Hoxd11	1090	22.4676950320362
1	wt	M	Hoxd11	1090	22.4934702681349
1	wt	M	Hoxd10	1090	26.3543378737904
1	wt	M	Hoxd10	1090	26.3580420070294
1	wt	M	Hoxd10	1090	26.6886448375937
1	wt	M	Tbp	1135	26.5358823596872
1	wt	M	Tbp	1135	26.8843777760793
1	wt	M	Tbp	1135	26.885280352773
1	wt	M	Hoxd13	1135	25.188484823372
1	wt	M	Hoxd13	1135	25.0907919429542
1	wt	M	Hoxd13	1135	25.1137754077774
1	wt	M	Hoxd11	1135	24.6749925499528
1	wt	M	Hoxd11	1135	24.6395552317092
1	wt	M	Hoxd11	1135	24.517829910397
1	wt	M	Hoxd10	1135	29.1617422088792
1	wt	M	Hoxd10	1135	29.0520485295772
1	wt	M	Hoxd10	1135	29.3590671547795
1	wt	M	Tbp	1100	23.600104725439
1	wt	M	Tbp	1100	23.551958595945
1	wt	M	Tbp	1100	23.3091980697964
1	wt	M	Hoxd13	1100	21.6606499777706
1	wt	M	Hoxd13	1100	21.7813613977215
1	wt	M	Hoxd13	1100	21.7047022487045
1	wt	M	Hoxd11	1100	21.5729615521017
1	wt	M	Hoxd11	1100	21.5168532381855
1	wt	M	Hoxd11	1100	21.505080779773
1	wt	M	Hoxd10	1100	25.3136373959879
1	wt	M	Hoxd10	1100	25.3987304510254
1	wt	M	Hoxd10	1100	25.4644713767217
2	Inv/Inv	M	Tbp	1092	24.8056324920712
2	Inv/Inv	M	Tbp	1092	24.9649757960804
2	Inv/Inv	M	Tbp	1092	24.9358874893288
2	Inv/Inv	M	Hoxd13	1092	23.274922851454
2	Inv/Inv	M	Hoxd13	1092	23.2870857644822
2	Inv/Inv	M	Hoxd13	1092	23.1379315071443
2	Inv/Inv	M	Hoxd11	1092	22.3612088583479
2	Inv/Inv	M	Hoxd11	1092	22.3735114635732
2	Inv/Inv	M	Hoxd11	1092	22.2753747014903
2	Inv/Inv	M	Hoxd10	1092	27.0124786722817
2	Inv/Inv	M	Hoxd10	1092	26.7936151786884
2	Inv/Inv	M	Hoxd10	1092	26.9613800273192
2	Inv/Inv	M	Tbp	1133	26.3374082953441
2	Inv/Inv	M	Tbp	1133	26.310616916939
2	Inv/Inv	M	Tbp	1133	26.4130273571408
2	Inv/Inv	M	Hoxd13	1133	25.6307683995386
2	Inv/Inv	M	Hoxd13	1133	25.4138123547965
2	Inv/Inv	M	Hoxd13	1133	25.2967704428744
2	Inv/Inv	M	Hoxd11	1133	24.9499960264045
2	Inv/Inv	M	Hoxd11	1133	25.0165335638913
2	Inv/Inv	M	Hoxd11	1133	24.971084293431
2	Inv/Inv	M	Hoxd10	1133	29.3539030622503
2	Inv/Inv	M	Hoxd10	1133	29.3282379583057
2	Inv/Inv	M	Hoxd10	1133	29.2378285796325
2	Inv/Inv	M	Tbp	1140	24.8247133054668
2	Inv/Inv	M	Tbp	1140	24.7391260690157
2	Inv/Inv	M	Tbp	1140	24.7311046234681
2	Inv/Inv	M	Hoxd13	1140	23.417464544842
2	Inv/Inv	M	Hoxd13	1140	23.1910190627214
2	Inv/Inv	M	Hoxd13	1140	23.3201810677851
2	Inv/Inv	M	Hoxd11	1140	22.6247350792863
2	Inv/Inv	M	Hoxd11	1140	22.4887181027377
2	Inv/Inv	M	Hoxd11	1140	22.6479249219458
2	Inv/Inv	M	Hoxd10	1140	27.0981878194416
2	Inv/Inv	M	Hoxd10	1140	27.0232938729545
2	Inv/Inv	M	Hoxd10	1140	26.9531103907548
2	wt	M	Tbp	1088	24.2809974531995
2	wt	M	Tbp	1088	24.1839906243465
2	wt	M	Tbp	1088	24.1323938696307
2	wt	M	Hoxd9	1088	25.5904923408504
2	wt	M	Hoxd9	1088	25.3780857320388
2	wt	M	Hoxd9	1088	25.2647078602578
2	wt	M	Hoxd8	1088	26.3394935064599
2	wt	M	Hoxd8	1088	26.3378746056868
2	wt	M	Hoxd8	1088	27.1330621089028
2	wt	M	Hoxa13	1088	27.0016789188736
2	wt	M	Hoxa13	1088	26.9219621553556
2	wt	M	Hoxa13	1088	27.0572544742799
2	wt	M	Tbp	1090	25.0894595729286
2	wt	M	Tbp	1090	25.0179351729044
2	wt	M	Tbp	1090	24.8632985429329
2	wt	M	Hoxd9	1090	26.0949958820908
2	wt	M	Hoxd9	1090	26.1361930615354
2	wt	M	Hoxd9	1090	26.0067512763703
2	wt	M	Hoxd8	1090	27.2540486521073
2	wt	M	Hoxd8	1090	27.7113326408048
2	wt	M	Hoxd8	1090	27.5419055320452
2	wt	M	Hoxa13	1090	28.1404954915516
2	wt	M	Hoxa13	1090	28.0822144247056
2	wt	M	Hoxa13	1090	28.2773876460885
2	wt	M	Tbp	1135	26.9664106939182
2	wt	M	Tbp	1135	27.8585158932349
2	wt	M	Tbp	1135	27.2781026824833
2	wt	M	Hoxd9	1135	31.1173153809213
2	wt	M	Hoxd9	1135	30.6205631178311
2	wt	M	Hoxd9	1135	30.8680123380416
2	wt	M	Hoxd8	1135	29.6069987177971
2	wt	M	Hoxd8	1135	29.9804357471135
2	wt	M	Hoxd8	1135	29.7619530708912
2	wt	M	Hoxa13	1135	29.9159619501632
2	wt	M	Hoxa13	1135	30.0109859623252
2	wt	M	Hoxa13	1135	30.0688838535989
2	wt	M	Tbp	1100	24.8218468034643
2	wt	M	Tbp	1100	24.8435874688763
2	wt	M	Tbp	1100	24.6952655024419
2	wt	M	Hoxd9	1100	25.3420559275857
2	wt	M	Hoxd9	1100	25.6038443100602
2	wt	M	Hoxd9	1100	25.2465114295819
2	wt	M	Hoxd8	1100	26.520633529646
2	wt	M	Hoxd8	1100	26.7289121700763
2	wt	M	Hoxd8	1100	27.2220584756012
2	wt	M	Hoxa13	1100	27.1041232661258
2	wt	M	Hoxa13	1100	27.1833190214172
2	wt	M	Hoxa13	1100	27.0591989576526
3	Inv/Inv	M	Tbp	1092	24.6424012531222
3	Inv/Inv	M	Tbp	1092	24.6342787582662
3	Inv/Inv	M	Tbp	1092	24.6889655436639
3	Inv/Inv	M	Hoxd9	1092	26.6167781243597
3	Inv/Inv	M	Hoxd9	1092	26.4472481847261
3	Inv/Inv	M	Hoxd9	1092	26.3356535518737
3	Inv/Inv	M	Hoxd8	1092	29.0052923129013
3	Inv/Inv	M	Hoxd8	1092	29.0998646695257
3	Inv/Inv	M	Hoxd8	1092	28.8803862042151
