Plate	Genotype	Sex	Target	Sample	Cq
1	wt	M	Tbp	101	30.1045397440328
1	wt	M	Tbp	101	30.3140006345572
1	wt	M	Tbp	101	30.2865228688124
1	wt	M	Hoxd13	101	26.1175392166175
1	wt	M	Hoxd13	101	25.9700315720185
1	wt	M	Hoxd13	101	26.0325236144172
1	wt	M	Hoxd12	101	36.4766292987892
1	wt	M	Hoxd12	101	36.5216404007429
1	wt	M	Hoxd12	101	36.5701160923506
1	wt	M	Hoxd11	101	26.0318239417133
1	wt	M	Hoxd11	101	25.8611530689594
1	wt	M	Hoxd11	101	25.6608702186007
1	wt	M	Tbp	103	30.2374757998803
1	wt	M	Tbp	103	30.051493914223
1	wt	M	Tbp	103	30.144068650818
1	wt	M	Hoxd13	103	25.9134112127896
1	wt	M	Hoxd13	103	25.9557401277712
1	wt	M	Hoxd13	103	25.9099261523818
1	wt	M	Hoxd12	103	37.1063549482006
1	wt	M	Hoxd12	103	37.5376291839385
1	wt	M	Hoxd12	103	37.0291809953307
1	wt	M	Hoxd11	103	25.2881849832276
1	wt	M	Hoxd11	103	25.5134608958163
1	wt	M	Hoxd11	103	25.4435567666647
1	wt	M	Tbp	111	30.0451218153439
1	wt	M	Tbp	111	29.9742681007511
1	wt	M	Tbp	111	30.1473050554661
1	wt	M	Hoxd13	111	25.6740291657393
1	wt	M	Hoxd13	111	25.6789564101384
1	wt	M	Hoxd13	111	25.4989676005209
1	wt	M	Hoxd12	111	38.3645069265199
1	wt	M	Hoxd12	111	38.4170084668606
1	wt	M	Hoxd12	111	37.4738689499403
1	wt	M	Hoxd11	111	25.3367229306987
1	wt	M	Hoxd11	111	25.4946088590412
1	wt	M	Hoxd11	111	25.7269848941283
1	Inv/Inv	M	Tbp	115	30.1257288464906
1	Inv/Inv	M	Tbp	115	30.2888288276528
1	Inv/Inv	M	Tbp	115	29.8958967375404
1	Inv/Inv	M	Hoxd13	115	27.8170817282413
1	Inv/Inv	M	Hoxd13	115	27.8734528584888
1	Inv/Inv	M	Hoxd13	115	27.753421929436
1	Inv/Inv	M	Hoxd11	115	24.3340669311432
1	Inv/Inv	M	Hoxd11	115	24.3226878667418
1	Inv/Inv	M	Hoxd11	115	24.5564120380477
1	Inv/Inv	M	Tbp	134	30.6115384883592
1	Inv/Inv	M	Tbp	134	30.4941264057592
1	Inv/Inv	M	Tbp	134	30.3655307764785
1	Inv/Inv	M	Hoxd13	134	28.199207571275
1	Inv/Inv	M	Hoxd13	134	28.1736359323229
1	Inv/Inv	M	Hoxd13	134	28.0817021825211
1	Inv/Inv	M	Hoxd11	134	24.4566447920805
1	Inv/Inv	M	Hoxd11	134	24.3839466468432
1	Inv/Inv	M	Hoxd11	134	24.5467482069417
1	Inv/Inv	M	Tbp	145	30.1107590262461
1	Inv/Inv	M	Tbp	145	30.7777255608791
1	Inv/Inv	M	Tbp	145	30.3733112938152
1	Inv/Inv	M	Hoxd13	145	27.7707517709121
1	Inv/Inv	M	Hoxd13	145	27.7876437718078
1	Inv/Inv	M	Hoxd13	145	27.8229436946226
1	Inv/Inv	M	Hoxd11	145	24.4695333595316
1	Inv/Inv	M	Hoxd11	145	24.3525279261248
1	Inv/Inv	M	Hoxd11	145	24.5383683498303
