zf_chr	zf_start	zf_end	mm_chr	mm_start	mm_end	CS_ID
chr9	2370952	2371070	chr2	73653655	73653537	CS_1
chr9	2365114	2365257	chr2	73658956	73658813	CS_2
chr9	2360161	2360352	chr2	73665109	73664909	CS_3
chr9	2358417	2358516	chr2	73672802	73672700	CS_4
chr9	2354754	2354840	chr2	73675911	73675826	CS_5
chr9	2351680	2351835	chr2	73676682	73676528	CS_6
chr9	2347726	2347861	chr2	73681340	73681205	CS_7
chr9	2347554	2347664	chr2	73684243	73684133	CS_8
chr9	2344891	2344947	chr2	73693569	73693512	CS_9
chr9	2340544	2340660	chr2	73739053	73738937	CS_10
chr9	2337160	2337300	chr2	73739664	73739524	CS_11
chr9	2276973	2277297	chr2	73901467	73901161	CS_12
chr9	2234306	2234459	chr2	73949824	73949670	CS_13
chr9	2199235	2199382	chr2	73960700	73960555	CS_14
chr9	2189931	2190265	chr2	73999526	73999197	CS_15
chr9	2166360	2166426	chr2	74043621	74043555	CS_16
chr9	2151273	2151559	chr2	74062010	74061726	CS_17
chr9	2139502	2139827	chr2	74074507	74074162	CS_18
chr9	2119817	2119987	chr2	74127601	74127431	CS_19
chr9	2075582	2076052	chr2	74280951	74280493	CS_20
chr9	2075204	2075427	chr2	74281491	74281268	CS_21
chr9	2071834	2071944	chr2	74282905	74282795	CS_22
chr9	2060477	2061271	chr2	74321333	74320543	CS_23
chr9	2052620	2052782	chr2	74328564	74328403	CS_24
chr9	2041522	2041612	chr2	74360934	74360845	CS_25
chr9	2009367	2009677	chr2	74479777	74479473	CS_26
chr9	2007464	2008400	chr2	74482488	74481508	CS_27
chr9	2005962	2006397	chr2	74484683	74484252	CS_28
chr9	2005316	2005413	chr2	74486055	74485958	CS_29
chr9	2004795	2005259	chr2	74486681	74486182	CS_30
chr9	2004097	2004243	chr2	74488254	74488108	CS_31
chr9	2002547	2003410	chr2	74490283	74489398	CS_32
chr9	1987677	1987852	chr2	74500446	74500271	CS_33
chr9	1982352	1982574	chr2	74506377	74506155	CS_34
chr9	1978052	1978197	chr2	74512678	74512535	CS_35
chr9	1977800	1977885	chr2	74512942	74512854	CS_36
chr9	1938233	1938287	chr2	74514424	74514370	CS_37
chr9	1982367	1982420	chr2	74514436	74514383	CS_38
chr9	1968263	1968335	chr2	74514445	74514373	CS_39
chr9	1976300	1976522	chr2	74514482	74514260	CS_40
chr9	1969450	1970112	chr2	74522813	74522162	CS_41
chr9	1964552	1964735	chr2	74524671	74524488	CS_42
chr9	1968224	1968483	chr2	74524708	74524449	CS_43
chr9	1965747	1965789	chr2	74528280	74528238	CS_44
chr9	1982371	1982413	chr2	74529733	74529688	CS_45
chr9	1964561	1964776	chr2	74529736	74529521	CS_46
chr9	1976344	1976520	chr2	74529736	74529561	CS_47
chr9	1968262	1968443	chr2	74529746	74529563	CS_48
chr9	1964559	1964618	chr2	74537048	74536989	CS_49
chr9	1949708	1949841	chr2	74537050	74536917	CS_50
chr9	1955741	1955817	chr2	74552393	74552317	CS_51
chr9	1952942	1953037	chr2	74556500	74556405	CS_52
chr9	1950647	1950829	chr2	74557692	74557512	CS_53
chr9	1950303	1950372	chr2	74558054	74557985	CS_54
chr9	1938214	1938384	chr2	74558814	74558644	CS_55
chr9	1949684	1949930	chr2	74558837	74558593	CS_56
chr9	1944773	1944906	chr2	74565083	74564950	CS_57
chr9	1943821	1943896	chr2	74566613	74566538	CS_58
chr9	1937687	1938437	chr2	74577422	74576663	CS_59
chr9	1968273	1968401	chr2	74594605	74594477	CS_60
chr9	1742721	1742958	chr2	75255975	75255740	CS_61
chr9	1730074	1730167	chr2	75273274	75273181	CS_62
chr9	1702518	1702633	chr2	75491937	75491822	CS_63
chr9	1699980	1700130	chr2	75492163	75492013	CS_64
chr9	1698326	1698543	chr2	75492455	75492238	CS_65
chr9	1680040	1680512	chr2	75506811	75506339	CS_66
